Age,Categorie_age,Sexe,Milieu,Region_geographique,Etat_matrimonial,Niveau_education,Annees_experience,CSP,Secteur_emploi,Propriete_immobiliere,Vehicule_motorise,Terrain_agricole,Revenu_secondaire,Revenu_Annuel
21,18-24,Femme,Urbain,Est,Célibataire,Supérieur,0.0,Employés,Privé,Non,Non,Non,Non,22126.0
29,25-34,Femme,Urbain,Centre,Marié,Fondamental,4.0,Agriculteurs,Informel,Non,Non,Oui,Non,3873.0
26,25-34,Homme,Urbain,Ouest,Marié,Sans niveau,8.0,Ouvriers,Informel,Non,Non,Non,Non,3953.0
30,25-34,Femme,Urbain,Centre,Célibataire,Sans niveau,4.0,Agriculteurs,Privé,Non,Oui,Non,Non,3663.0
43,35-44,Femme,Urbain,Ouest,Célibataire,Secondaire,5.0,Employés,Privé,Non,Non,Non,Non,16128.0
55,55-64,Femme,Rural,Sud,Veuf,Secondaire,6.0,Employés,Public,Non,Non,Non,Non,12073.0
59,55-64,Femme,Rural,Est,Divorcé,Fondamental,19.0,Ouvriers,Privé,Non,Non,Non,Non,5430.0
30,25-34,Femme,Urbain,Est,Célibataire,Fondamental,6.0,Agriculteurs,Informel,Oui,Non,Non,Non,3545.0
56,55-64,Femme,Rural,Nord,Divorcé,Fondamental,22.0,Ouvriers,Privé,Non,Non,Non,Non,6133.0
45,45-54,Femme,Rural,Est,Veuf,Sans niveau,15.0,Inactifs,nan,Non,Non,Non,Non,2484.0
36,35-44,Femme,Rural,Nord,Divorcé,Secondaire,13.0,Professions intermédiaires,Public,Non,Non,Non,Non,22490.0
41,35-44,Homme,Urbain,Sud,Marié,Supérieur,11.0,Cadres supérieurs,Privé,Oui,Oui,Non,Oui,90913.0
36,35-44,Homme,Rural,Ouest,Marié,Fondamental,6.0,Ouvriers,Privé,Non,Non,Non,Non,5993.0
30,25-34,Femme,Urbain,Ouest,Marié,Supérieur,5.0,Professions intermédiaires,Privé,Non,Non,Non,Oui,50544.0
30,25-34,Femme,Urbain,Ouest,Marié,Fondamental,9.0,Ouvriers,Privé,Non,Non,Non,Non,6629.0
45,45-54,Femme,Rural,Ouest,Marié,Fondamental,21.0,Ouvriers,Informel,Non,Non,Non,Non,4675.0
19,18-24,Homme,Urbain,Ouest,Célibataire,Fondamental,0.0,Inactifs,nan,Non,Non,Non,Non,7241.0
27,25-34,Homme,Rural,Est,Marié,Fondamental,5.0,Ouvriers,Privé,Oui,Non,Non,Non,5141.0
39,35-44,Homme,Rural,Sud,Célibataire,Fondamental,7.0,Agriculteurs,Informel,Non,Non,Oui,Oui,6354.0
30,25-34,Femme,Urbain,Ouest,Marié,Secondaire,6.0,Employés,Informel,Oui,Oui,Non,Non,12076.0
26,25-34,Femme,Urbain,Nord,Marié,Supérieur,0.0,Employés,Informel,Non,Oui,Non,Non,17699.0
50,45-54,Femme,Urbain,Centre,Marié,Fondamental,16.0,Ouvriers,Informel,Non,Non,Non,Non,5273.0
31,25-34,Homme,Urbain,Est,Veuf,Secondaire,1.0,Ouvriers,Privé,Oui,Non,Non,Non,11111.0
37,35-44,Homme,Urbain,Nord,Marié,Fondamental,15.0,Ouvriers,Informel,Oui,Non,Non,Non,6390.0
32,25-34,Femme,Urbain,Sud,Divorcé,Secondaire,6.0,Employés,Privé,Non,Non,Non,Non,14479.0
49,45-54,Femme,Urbain,Nord,Marié,Sans niveau,24.0,Ouvriers,Privé,Non,Non,Non,Non,4157.0
50,45-54,Homme,Rural,Est,Veuf,Fondamental,19.0,Ouvriers,Privé,Non,Non,Non,Non,6763.0
34,25-34,Femme,Urbain,Centre,Célibataire,Fondamental,8.0,Ouvriers,Informel,Non,Non,Non,Non,4858.0
41,35-44,Homme,Rural,Est,Marié,Sans niveau,13.0,Inactifs,nan,Non,Non,Non,Non,3014.0
47,45-54,Femme,Urbain,Nord,Célibataire,Supérieur,16.0,Cadres supérieurs,Public,Oui,Oui,Non,Non,89219.0
30,25-34,Homme,Urbain,Nord,Marié,Secondaire,1.0,Ouvriers,Privé,Non,Non,Non,Non,12338.0
33,25-34,Homme,Rural,Centre,Marié,Fondamental,6.0,Ouvriers,Privé,Non,Non,Non,Non,5874.0
19,18-24,Femme,Urbain,Centre,Célibataire,Sans niveau,0.0,Inactifs,nan,Non,Non,Non,Non,4263.0
34,25-34,Homme,Rural,Est,Marié,Fondamental,0.0,Ouvriers,Privé,Oui,Non,Non,Non,4618.0
49,45-54,Homme,Rural,Centre,Marié,Secondaire,21.0,Professions intermédiaires,Public,Non,Oui,Non,Oui,40448.0
60,55-64,Homme,Rural,Est,Célibataire,Supérieur,9.0,Cadres supérieurs,Public,Non,Oui,Non,Non,72993.0
25,25-34,Femme,Urbain,Nord,Marié,Secondaire,0.0,Ouvriers,Informel,Oui,Non,Non,Non,6740.0
20,18-24,Femme,Rural,Centre,Marié,Fondamental,2.0,Ouvriers,Informel,Non,Non,Non,Non,3244.0
29,25-34,Homme,Rural,Sud,Divorcé,Fondamental,0.0,Ouvriers,Informel,Oui,Non,Non,Non,3337.0
37,35-44,Femme,Urbain,Centre,Célibataire,Secondaire,16.0,Professions intermédiaires,Privé,Oui,Non,Non,Non,29627.0
33,25-34,Femme,Rural,Nord,Marié,Fondamental,4.0,Agriculteurs,Informel,Non,Non,Oui,Non,2825.0
31,25-34,Homme,Urbain,Est,Marié,Secondaire,9.0,Employés,Public,Non,Oui,Non,Non,19058.0
33,25-34,Femme,Urbain,Sud,Divorcé,Sans niveau,0.0,Inactifs,nan,Non,Non,Non,Non,3574.0
60,55-64,Homme,Urbain,Ouest,Veuf,Supérieur,31.0,Cadres supérieurs,Public,Oui,Oui,Non,Non,180160.0
50,45-54,Homme,Urbain,Centre,Marié,Secondaire,18.0,Professions intermédiaires,Privé,Oui,Non,Non,Oui,42520.0
47,45-54,Homme,Urbain,Ouest,Marié,Secondaire,12.0,Employés,Informel,Oui,Oui,Non,Oui,21339.0
29,25-34,Femme,Urbain,Centre,Célibataire,Secondaire,1.0,Ouvriers,Informel,Non,Non,Non,Oui,10493.0
32,25-34,Femme,Urbain,Sud,Marié,Secondaire,5.0,Employés,Privé,Oui,Oui,Non,Non,13773.0
35,35-44,Homme,Urbain,Nord,Marié,Secondaire,10.0,Employés,Privé,Non,Oui,Non,Non,22881.0
45,45-54,Femme,Rural,Sud,Marié,Secondaire,8.0,Employés,Privé,Non,Non,Non,Oui,16650.0
40,35-44,Femme,Urbain,Centre,Marié,Secondaire,0.0,Ouvriers,Informel,Oui,Non,Non,Non,7241.0
31,25-34,Homme,Rural,Centre,Divorcé,Supérieur,3.0,Professions intermédiaires,Public,Oui,Non,Non,Non,47862.0
47,45-54,Femme,Urbain,Nord,Marié,Secondaire,23.0,Professions intermédiaires,Privé,Oui,Oui,Non,Non,33645.0
50,45-54,Homme,Rural,Nord,Marié,Secondaire,27.0,Professions intermédiaires,Privé,Non,Non,Non,Oui,45631.0
62,55-64,Femme,Urbain,Sud,Célibataire,Secondaire,4.0,Ouvriers,Privé,Non,Non,Non,Non,10025.0
32,25-34,Femme,Urbain,Centre,Marié,Secondaire,3.0,Ouvriers,Privé,Non,Non,Non,Non,11201.0
24,18-24,Femme,Rural,Est,Divorcé,Supérieur,0.0,Employés,Privé,Non,Non,Non,Non,20200.0
32,25-34,Homme,Rural,Sud,Marié,Secondaire,9.0,Employés,Privé,Non,Non,Non,Non,17886.0
59,55-64,Homme,Rural,Est,Veuf,Supérieur,34.0,Cadres supérieurs,Privé,Oui,Oui,Non,Non,170546.0
63,55-64,Homme,Urbain,Est,Veuf,Supérieur,29.0,Cadres supérieurs,Public,Non,Oui,Non,Non,148320.0
55,55-64,Homme,Rural,Nord,Marié,Fondamental,13.0,Ouvriers,Privé,Non,Non,Non,Non,6542.0
63,55-64,Homme,Urbain,Ouest,Divorcé,Secondaire,22.0,Professions intermédiaires,Public,Non,Non,Non,Oui,44603.0
61,55-64,Femme,Urbain,Nord,Marié,Secondaire,15.0,Professions intermédiaires,Privé,Oui,Oui,Non,Non,27639.0
28,25-34,Femme,Urbain,Nord,Célibataire,Secondaire,0.0,Employés,Privé,Non,Non,Non,Non,12595.0
46,45-54,Femme,Urbain,Est,Veuf,Secondaire,6.0,Employés,Public,Non,Non,Non,Non,13519.0
48,45-54,Homme,Urbain,Est,Veuf,Fondamental,2.0,Agriculteurs,Informel,Non,Oui,Oui,Oui,7123.0
42,35-44,Homme,Rural,Sud,Marié,Fondamental,13.0,Ouvriers,Informel,Non,Non,Non,Non,4279.0
41,35-44,Femme,Rural,Nord,Marié,Secondaire,0.0,Ouvriers,Informel,Non,Non,Non,Non,5678.0
36,35-44,Femme,Urbain,Centre,Célibataire,Secondaire,7.0,Employés,Informel,Non,Non,Non,Non,12548.0
19,18-24,Homme,Rural,Nord,Célibataire,Fondamental,0.0,Inactifs,nan,Non,Non,Non,Non,4839.0
39,35-44,Homme,Rural,Nord,Marié,Sans niveau,19.0,Agriculteurs,Informel,Non,Non,Oui,Non,2258.0
37,35-44,Femme,Urbain,Ouest,Veuf,Supérieur,13.0,Cadres supérieurs,Privé,Oui,Oui,Non,Non,87511.0
50,45-54,Homme,Urbain,Ouest,Marié,Fondamental,21.0,Ouvriers,Informel,Non,Non,Non,Oui,10173.0
25,25-34,Femme,Urbain,Centre,Célibataire,Secondaire,2.0,Employés,Privé,Non,Non,Non,Non,14254.0
42,35-44,Femme,Urbain,Centre,Marié,Secondaire,22.0,Professions intermédiaires,Public,Non,Oui,Oui,Non,32672.0
63,55-64,Homme,Rural,Centre,Marié,Secondaire,28.0,Professions intermédiaires,Privé,Oui,Non,Non,Non,46009.0
26,25-34,Homme,Urbain,Centre,Divorcé,Secondaire,6.0,Employés,Privé,Non,Non,Non,Non,21299.0
51,45-54,Femme,Urbain,Ouest,Veuf,Secondaire,1.0,Ouvriers,Informel,Non,Non,Non,Non,7458.0
40,35-44,Femme,Urbain,Centre,Marié,Secondaire,9.0,Employés,Privé,Oui,Oui,Non,Non,18239.0
22,18-24,Homme,Urbain,Ouest,Célibataire,Fondamental,4.0,Agriculteurs,Informel,Oui,Non,Oui,Non,4986.0
42,35-44,Femme,Urbain,Ouest,Marié,Fondamental,22.0,Ouvriers,Informel,Non,Non,Non,Non,5852.0
25,25-34,Homme,Urbain,Nord,Marié,Supérieur,2.0,Employés,Privé,Non,Non,Non,Oui,38704.0
33,25-34,Homme,Rural,Nord,Marié,Fondamental,2.0,Ouvriers,Informel,Non,Non,Non,Non,3818.0
62,55-64,Homme,Urbain,Nord,Célibataire,Fondamental,24.0,Ouvriers,Informel,Non,Non,Non,Non,7117.0
32,25-34,Homme,Urbain,Ouest,Marié,Fondamental,13.0,Ouvriers,Privé,Non,Non,Non,Non,9004.0
18,18-24,Femme,Rural,Centre,Divorcé,Supérieur,0.0,Employés,Privé,Non,Oui,Non,Non,23353.0
39,35-44,Homme,Urbain,Centre,Marié,Secondaire,15.0,Professions intermédiaires,Privé,Oui,Oui,Non,Non,36475.0
20,18-24,Homme,Urbain,Ouest,Célibataire,Secondaire,0.0,Employés,Privé,Non,Non,Non,Non,16562.0
55,55-64,Femme,Urbain,Nord,Veuf,Supérieur,24.0,Cadres supérieurs,Public,Oui,Oui,Non,Non,114198.0
31,25-34,Homme,Urbain,Centre,Marié,Sans niveau,13.0,Inactifs,nan,Non,Non,Non,Non,5435.0
53,45-54,Femme,Urbain,Nord,Marié,Sans niveau,15.0,Agriculteurs,Privé,Non,Non,Oui,Non,3752.0
35,35-44,Homme,Urbain,Centre,Marié,Supérieur,12.0,Cadres supérieurs,Privé,Non,Non,Non,Oui,108962.0
58,55-64,Homme,Urbain,Est,Marié,Fondamental,4.0,Agriculteurs,Informel,Non,Oui,Non,Oui,7251.0
35,35-44,Homme,Rural,Ouest,Marié,Supérieur,9.0,Cadres supérieurs,Privé,Oui,Non,Non,Oui,91600.0
20,18-24,Homme,Urbain,Nord,Célibataire,Secondaire,0.0,Ouvriers,Informel,Non,Non,Non,Non,8681.0
27,25-34,Homme,Urbain,Ouest,Marié,Secondaire,7.0,Employés,Privé,Oui,Non,Non,Oui,24610.0
56,55-64,Homme,Rural,Ouest,Marié,Sans niveau,16.0,Ouvriers,Privé,Non,Non,Non,Non,3569.0
18,18-24,Femme,Rural,Centre,Marié,Fondamental,0.0,Inactifs,nan,Oui,Non,Non,Non,4196.0
44,35-44,Femme,Rural,Nord,Divorcé,Sans niveau,16.0,Agriculteurs,Informel,Non,Non,Oui,Non,1716.0
44,35-44,Homme,Urbain,Centre,Marié,Secondaire,7.0,Employés,Public,Non,Non,Non,Oui,23668.0
28,25-34,Femme,Urbain,Nord,Célibataire,Secondaire,5.0,Employés,Privé,Non,Non,Non,Non,15172.0
22,18-24,Homme,Urbain,Centre,Célibataire,Supérieur,0.0,Employés,Privé,Non,Non,Non,Non,32334.0
24,18-24,Femme,Rural,Ouest,Célibataire,Secondaire,1.0,Employés,Informel,Non,Non,Non,Non,8532.0
36,35-44,Femme,Urbain,Ouest,Divorcé,Sans niveau,9.0,Inactifs,nan,Non,Non,Non,Non,4277.0
46,45-54,Femme,Rural,Centre,Marié,Sans niveau,4.0,Ouvriers,Informel,Non,Non,Non,Non,1916.0
32,25-34,Homme,Rural,Centre,Marié,Secondaire,3.0,Ouvriers,Privé,Non,Non,Non,Non,12215.0
52,45-54,Homme,Rural,Ouest,Célibataire,Secondaire,27.0,Professions intermédiaires,Privé,Non,Non,Non,Non,44888.0
54,45-54,Femme,Rural,Sud,Divorcé,Fondamental,13.0,Ouvriers,Informel,Non,Non,Non,Non,3368.0
29,25-34,Femme,Urbain,Centre,Marié,Fondamental,9.0,Ouvriers,Privé,Non,Non,Non,Non,6525.0
47,45-54,Homme,Urbain,Nord,Veuf,Supérieur,1.0,Employés,Public,Non,Non,Non,Non,31784.0
37,35-44,Femme,Urbain,Centre,Veuf,Supérieur,1.0,Professions intermédiaires,Privé,Non,Non,Non,Oui,39781.0
54,45-54,Femme,Urbain,Sud,Célibataire,Sans niveau,29.0,Inactifs,nan,Non,Non,Non,Non,4026.0
20,18-24,Homme,Urbain,Sud,Célibataire,Secondaire,0.0,Ouvriers,Privé,Non,Non,Non,Non,10770.0
26,25-34,Homme,Urbain,Nord,Marié,Secondaire,5.0,Employés,Public,Oui,Non,Non,Non,18205.0
58,55-64,Femme,Rural,Centre,Marié,Secondaire,35.0,Professions intermédiaires,Privé,Oui,Oui,Non,Oui,44481.0
56,55-64,Femme,Rural,Sud,Marié,Sans niveau,13.0,Inactifs,nan,Non,Non,Non,Non,2385.0
43,35-44,Femme,Rural,Sud,Divorcé,Fondamental,20.0,Ouvriers,Privé,Non,Non,Non,Non,5246.0
19,18-24,Femme,Urbain,Nord,Célibataire,Secondaire,0.0,Ouvriers,Informel,Non,Non,Oui,Non,6764.0
40,35-44,Homme,Urbain,Centre,Marié,Sans niveau,22.0,Inactifs,nan,Non,Non,Non,Non,5461.0
40,35-44,Homme,Urbain,Centre,Marié,Supérieur,3.0,Professions intermédiaires,Privé,Non,Non,Non,Oui,56444.0
38,35-44,Femme,Urbain,Ouest,Veuf,Sans niveau,11.0,Ouvriers,Privé,Non,Non,Non,Non,4272.0
33,25-34,Femme,Rural,Centre,Marié,Sans niveau,2.0,Inactifs,nan,Non,Non,Non,Non,2702.0
26,25-34,Homme,Urbain,Ouest,Marié,Secondaire,3.0,Ouvriers,Informel,Non,Non,Non,Non,10326.0
30,25-34,Femme,Urbain,Centre,Marié,Sans niveau,11.0,Inactifs,nan,Non,Non,Non,Non,4260.0
45,45-54,Femme,Urbain,Centre,Marié,Supérieur,3.0,Professions intermédiaires,Privé,Non,Oui,Non,Non,42258.0
44,35-44,Homme,Urbain,Centre,Marié,Sans niveau,21.0,Agriculteurs,Informel,Non,Non,Oui,Non,3715.0
34,25-34,Femme,Rural,Est,Marié,Secondaire,5.0,Employés,Privé,Oui,Non,Non,Non,11867.0
55,55-64,Homme,Rural,Centre,Veuf,Fondamental,34.0,Ouvriers,Informel,Non,Non,Non,Non,7004.0
53,45-54,Homme,Rural,Centre,Marié,Sans niveau,5.0,Ouvriers,Informel,Non,Non,Non,Non,2517.0
18,18-24,Homme,Urbain,Nord,Célibataire,Supérieur,0.0,Professions intermédiaires,Privé,Oui,Oui,Non,Non,41228.0
35,35-44,Homme,Rural,Sud,Veuf,Secondaire,8.0,Employés,Public,Oui,Non,Non,Non,16265.0
26,25-34,Femme,Urbain,Nord,Célibataire,Secondaire,6.0,Employés,Public,Non,Non,Non,Non,15341.0
30,25-34,Homme,Rural,Est,Veuf,Secondaire,8.0,Employés,Privé,Non,Oui,Non,Non,17022.0
57,55-64,Femme,Rural,Nord,Marié,Secondaire,22.0,Professions intermédiaires,Privé,Oui,Non,Non,Non,30564.0
62,55-64,Femme,Urbain,Nord,Marié,Fondamental,32.0,Ouvriers,Informel,Non,Non,Non,Non,6197.0
32,25-34,Femme,Rural,Centre,Marié,Fondamental,4.0,Ouvriers,Informel,Non,Non,Non,Non,3341.0
60,55-64,Femme,Urbain,Centre,Marié,Supérieur,14.0,Cadres supérieurs,Public,Oui,Oui,Non,Non,86686.0
61,55-64,Homme,Urbain,Est,Marié,Secondaire,34.0,Professions intermédiaires,Privé,Non,Oui,Non,Oui,50756.0
63,55-64,Homme,Urbain,Est,Marié,Sans niveau,7.0,Inactifs,nan,Non,Non,Non,Non,4734.0
21,18-24,Femme,Rural,Centre,Divorcé,Secondaire,1.0,Ouvriers,Privé,Oui,Non,Non,Non,8696.0
50,45-54,Femme,Rural,Centre,Marié,Secondaire,13.0,Professions intermédiaires,Public,Non,Non,Non,Non,23649.0
41,35-44,Homme,Rural,Nord,Célibataire,Sans niveau,19.0,Ouvriers,Informel,Non,Non,Non,Non,2601.0
53,45-54,Homme,Urbain,Centre,Marié,Secondaire,21.0,Professions intermédiaires,Privé,Non,Oui,Non,Non,42301.0
58,55-64,Femme,Urbain,Ouest,Veuf,Secondaire,23.0,Professions intermédiaires,Public,Oui,Non,Non,Non,33745.0
27,25-34,Homme,Rural,Est,Marié,Fondamental,0.0,Agriculteurs,Informel,Oui,Non,Oui,Non,2984.0
53,45-54,Femme,Urbain,Centre,Divorcé,Secondaire,12.0,Employés,Public,Non,Non,Non,Oui,22300.0
37,35-44,Homme,Urbain,Est,Célibataire,Fondamental,12.0,Ouvriers,Privé,Non,Non,Non,Non,7573.0
58,55-64,Femme,Urbain,Ouest,Marié,Fondamental,32.0,Ouvriers,Privé,Non,Non,Non,Non,9020.0
62,55-64,Femme,Urbain,Nord,Veuf,Fondamental,20.0,Ouvriers,Informel,Non,Non,Non,Non,5387.0
61,55-64,Homme,Urbain,Centre,Marié,Secondaire,12.0,Employés,Public,Non,Non,Non,Non,24374.0
28,25-34,Homme,Urbain,Centre,Marié,Fondamental,7.0,Agriculteurs,Informel,Oui,Non,Non,Non,5243.0
29,25-34,Homme,Rural,Nord,Célibataire,Supérieur,6.0,Professions intermédiaires,Public,Oui,Non,Non,Non,55036.0
35,35-44,Homme,Rural,Ouest,Marié,Supérieur,12.0,Cadres supérieurs,Privé,Oui,Non,Non,Non,101873.0
47,45-54,Femme,Rural,Sud,Divorcé,Fondamental,18.0,Ouvriers,Informel,Non,Oui,Non,Non,3777.0
61,55-64,Homme,Urbain,Nord,Marié,Fondamental,0.0,Ouvriers,Informel,Non,Non,Non,Non,4957.0
54,45-54,Femme,Rural,Nord,Marié,Supérieur,27.0,Cadres supérieurs,Public,Non,Non,Non,Oui,123312.0
37,35-44,Homme,Urbain,Est,Marié,Fondamental,3.0,Agriculteurs,Informel,Non,Non,Non,Oui,7307.0
42,35-44,Femme,Urbain,Ouest,Marié,Fondamental,24.0,Ouvriers,Privé,Non,Non,Non,Non,8168.0
29,25-34,Homme,Urbain,Nord,Marié,Supérieur,0.0,Professions intermédiaires,Privé,Non,Non,Non,Non,41265.0
38,35-44,Femme,Rural,Nord,Marié,Secondaire,13.0,Professions intermédiaires,Privé,Oui,Oui,Non,Non,23793.0
42,35-44,Femme,Urbain,Est,Marié,Supérieur,2.0,Employés,Privé,Non,Non,Non,Non,25723.0
28,25-34,Femme,Urbain,Ouest,Marié,Sans niveau,4.0,Inactifs,nan,Oui,Non,Non,Non,4133.0
26,25-34,Homme,Urbain,Centre,Marié,Sans niveau,1.0,Agriculteurs,Informel,Non,Non,Non,Oui,6454.0
42,35-44,Homme,Rural,Est,Marié,Secondaire,22.0,Professions intermédiaires,Privé,Oui,Non,Non,Oui,37481.0
52,45-54,Homme,Rural,Sud,Veuf,Secondaire,20.0,Professions intermédiaires,Privé,Non,Non,Non,Oui,36032.0
49,45-54,Homme,Rural,Nord,Veuf,Secondaire,16.0,Professions intermédiaires,Privé,Non,Oui,Non,Oui,35618.0
31,25-34,Femme,Urbain,Centre,Marié,Secondaire,7.0,Employés,Public,Non,Non,Non,Non,16591.0
18,18-24,Homme,Rural,Nord,Célibataire,Fondamental,0.0,Inactifs,nan,Non,Non,Non,Oui,8208.0
34,25-34,Femme,Rural,Centre,Marié,Secondaire,0.0,Employés,Informel,Non,Non,Non,Oui,10946.0
42,35-44,Homme,Urbain,Sud,Marié,Supérieur,15.0,Cadres supérieurs,Privé,Non,Non,Non,Oui,105666.0
25,25-34,Femme,Rural,Ouest,Marié,Secondaire,0.0,Ouvriers,Informel,Non,Non,Non,Non,6213.0
22,18-24,Femme,Urbain,Nord,Célibataire,Fondamental,4.0,Ouvriers,Informel,Non,Non,Non,Non,4283.0
22,18-24,Homme,Urbain,Ouest,Marié,Secondaire,2.0,Ouvriers,Informel,Non,Non,Non,Non,9859.0
58,55-64,Homme,Urbain,Ouest,Marié,Secondaire,8.0,Employés,Public,Non,Non,Non,Non,21456.0
52,45-54,Femme,Urbain,Ouest,Marié,Sans niveau,29.0,Agriculteurs,Privé,Oui,Non,Oui,Non,4074.0
36,35-44,Femme,Urbain,Ouest,Marié,Supérieur,8.0,Professions intermédiaires,Public,Non,Non,Non,Non,53420.0
40,35-44,Femme,Rural,Est,Marié,Sans niveau,14.0,Agriculteurs,Privé,Oui,Oui,Oui,Non,2160.0
26,25-34,Femme,Urbain,Nord,Marié,Sans niveau,5.0,Inactifs,nan,Non,Non,Non,Non,4065.0
47,45-54,Femme,Urbain,Ouest,Divorcé,Supérieur,19.0,Cadres supérieurs,Privé,Oui,Oui,Non,Non,108362.0
33,25-34,Homme,Urbain,Est,Célibataire,Secondaire,5.0,Employés,Informel,Non,Oui,Non,Non,12642.0
50,45-54,Homme,Urbain,Centre,Marié,Fondamental,15.0,Ouvriers,Privé,Non,Oui,Non,Non,9340.0
19,18-24,Femme,Rural,Nord,Célibataire,Secondaire,0.0,Employés,Public,Non,Non,Non,Oui,13055.0
31,25-34,Homme,Urbain,Nord,Marié,Supérieur,5.0,Professions intermédiaires,Public,Non,Oui,Non,Non,54899.0
63,55-64,Homme,Urbain,Sud,Marié,Fondamental,26.0,Ouvriers,Informel,Non,Non,Non,Non,6573.0
18,18-24,Homme,Rural,Centre,Célibataire,Fondamental,0.0,Inactifs,nan,Non,Non,Non,Non,5225.0
43,35-44,Femme,Urbain,Ouest,Divorcé,Supérieur,6.0,Professions intermédiaires,Privé,Non,Oui,Non,Oui,53396.0
42,35-44,Homme,Rural,Sud,Marié,Secondaire,5.0,Employés,Informel,Oui,Non,Non,Non,10973.0
33,25-34,Homme,Urbain,Centre,Marié,Secondaire,12.0,Employés,Public,Oui,Non,Non,Non,24110.0
32,25-34,Homme,Rural,Ouest,Veuf,Fondamental,1.0,Agriculteurs,Informel,Non,Non,Oui,Non,3490.0
43,35-44,Femme,Rural,Ouest,Célibataire,Fondamental,7.0,Ouvriers,Informel,Non,Oui,Non,Non,3672.0
61,55-64,Femme,Rural,Nord,Divorcé,Fondamental,40.0,Ouvriers,Informel,Non,Non,Non,Non,5685.0
33,25-34,Homme,Rural,Ouest,Marié,Supérieur,0.0,Employés,Public,Non,Non,Non,Non,28283.0
31,25-34,Homme,Rural,Centre,Célibataire,Secondaire,2.0,Ouvriers,Informel,Non,Non,Non,Oui,11452.0
46,45-54,Femme,Urbain,Centre,Marié,Secondaire,25.0,Professions intermédiaires,Privé,Non,Non,Non,Non,36786.0
41,35-44,Homme,Urbain,Nord,Célibataire,Fondamental,15.0,Ouvriers,Informel,Non,Non,Non,Non,6292.0
32,25-34,Femme,Rural,Nord,Célibataire,Secondaire,7.0,Employés,Public,Non,Non,Non,Non,13895.0
36,35-44,Homme,Urbain,Ouest,Célibataire,Secondaire,2.0,Ouvriers,Informel,Non,Non,Non,Non,9941.0
25,25-34,Femme,Urbain,Centre,Marié,Secondaire,4.0,Employés,Privé,Non,Non,Non,Non,15279.0
51,45-54,Femme,Urbain,Nord,Marié,Supérieur,20.0,Cadres supérieurs,Privé,Oui,Oui,Non,Oui,109676.0
19,18-24,Femme,Urbain,Ouest,Célibataire,Supérieur,0.0,Employés,Privé,Non,Non,Non,Oui,28660.0
44,35-44,Homme,Rural,Centre,Marié,Sans niveau,16.0,Agriculteurs,Informel,Non,Non,Oui,Non,2370.0
27,25-34,Homme,Rural,Centre,Marié,Supérieur,1.0,Employés,Informel,Oui,Oui,Non,Oui,26430.0
52,45-54,Homme,Urbain,Centre,Marié,Fondamental,25.0,Ouvriers,Informel,Non,Oui,Non,Non,7575.0
40,35-44,Femme,Rural,Nord,Marié,Secondaire,6.0,Employés,Informel,Non,Non,Non,Oui,13013.0
25,25-34,Homme,Rural,Nord,Célibataire,Secondaire,4.0,Ouvriers,Privé,Non,Non,Non,Non,12307.0
45,45-54,Homme,Urbain,Centre,Marié,Sans niveau,3.0,Ouvriers,Informel,Non,Non,Non,Non,3783.0
40,35-44,Femme,Urbain,Nord,Marié,Supérieur,2.0,Employés,Privé,Oui,Oui,Non,Non,28312.0
21,18-24,Femme,Rural,Ouest,Veuf,Fondamental,2.0,Agriculteurs,Informel,Oui,Oui,Oui,Non,2895.0
31,25-34,Homme,Urbain,Nord,Marié,Supérieur,4.0,Professions intermédiaires,Privé,Oui,Oui,Non,Non,54235.0
59,55-64,Homme,Urbain,Ouest,Célibataire,Fondamental,5.0,Ouvriers,Privé,Non,Oui,Non,Non,7852.0
46,45-54,Homme,Urbain,Nord,Marié,Fondamental,26.0,Ouvriers,Privé,Non,Non,Non,Non,9995.0
18,18-24,Femme,Urbain,Ouest,Célibataire,Secondaire,0.0,Employés,Public,Oui,Oui,Non,Non,12601.0
21,18-24,Homme,Rural,Ouest,Célibataire,Fondamental,2.0,Ouvriers,Informel,Non,Non,Non,Non,4064.0
49,45-54,Homme,Rural,Ouest,Marié,Fondamental,16.0,Ouvriers,Informel,Non,Non,Non,Non,5267.0
50,45-54,Homme,Urbain,Nord,Veuf,Secondaire,14.0,Professions intermédiaires,Privé,Non,Oui,Non,Oui,37169.0
43,35-44,Homme,Rural,Nord,Divorcé,Fondamental,5.0,Ouvriers,Informel,Non,Non,Non,Non,4081.0
34,25-34,Homme,Urbain,Centre,Marié,Fondamental,12.0,Ouvriers,Privé,Non,Non,Non,Non,8978.0
56,55-64,Femme,Urbain,Ouest,Divorcé,Secondaire,21.0,Professions intermédiaires,Privé,Oui,Oui,Non,Non,33544.0
40,35-44,Femme,Rural,Sud,Célibataire,Supérieur,3.0,Professions intermédiaires,Public,Non,Non,Non,Oui,35866.0
49,45-54,Femme,Urbain,Est,Marié,Secondaire,14.0,Professions intermédiaires,Privé,Oui,Oui,Non,Non,24341.0
32,25-34,Femme,Rural,Nord,Divorcé,Sans niveau,14.0,Agriculteurs,Informel,Non,Non,Non,Non,1716.0
30,25-34,Femme,Rural,Ouest,Marié,Secondaire,6.0,Employés,Informel,Non,Oui,Non,Non,10462.0
19,18-24,Femme,Urbain,Ouest,Marié,Supérieur,0.0,Employés,Privé,Non,Non,Non,Non,25508.0
