area,age,gender,education,socio_professional_group,years_experience,marital_status,has_car,home_ownership,has_land,number_of_children,source_revenu_secondaire,health_insurance,income,age_category,year_of_birth,age_squared,favorite_color
rural,37,homme,secondaire,Groupe6,16.0,célibataire,0,owned,1,0,1,1,16158,adulte,1987,1369,rouge
urbain,39,femme,secondaire,Groupe1,13.0,marié,1,owned,0,2,1,0,9784,adulte,1985,1521,rouge
rural,56,femme,sans_niveau,Groupe2,27.0,célibataire,1,owned,1,1,1,1,44622,sénior,1968,3136,jaune
urbain,40,homme,,Groupe5,,marié,1,owned,0,4,0,0,26515,adulte,1984,1600,bleu
urbain,30,femme,fondamental,Groupe1,6.0,divorcé,0,owned,0,2,1,1,13562,adulte,1994,900,vert
urbain,41,homme,secondaire,Groupe5,17.0,célibataire,1,owned,1,1,0,0,5634,adulte,1983,1681,vert
urbain,51,homme,secondaire,Groupe1,,célibataire,1,rented,0,1,1,1,311623,sénior,1973,2601,rouge
urbain,48,femme,secondaire,Groupe3,17.0,marié,0,owned,0,2,1,0,18332,sénior,1976,2304,rouge
urbain,44,homme,sans_niveau,Groupe5,16.0,marié,1,rented,0,0,0,0,12278,adulte,1980,1936,vert
urbain,39,homme,fondamental,Groupe5,12.0,marié,1,rented,0,2,0,1,23541,adulte,1985,1521,bleu
urbain,26,femme,supérieur,Groupe5,2.0,marié,0,owned,0,0,1,0,11257,adulte,1998,676,jaune
urbain,19,homme,supérieur,Groupe2,1.0,célibataire,1,rented,0,0,0,0,48796,jeune,2005,361,rouge
rural,18,homme,fondamental,Groupe5,0.0,divorcé,1,owned,1,1,1,0,1344,jeune,2006,324,rouge
rural,40,femme,secondaire,Groupe5,17.0,veuf,1,owned,1,1,0,0,5782,adulte,1984,1600,vert
urbain,42,homme,supérieur,Groupe6,24.0,marié,0,owned,1,2,0,0,23874,adulte,1982,1764,bleu
rural,51,femme,secondaire,Groupe6,19.0,marié,1,owned,1,1,1,1,6686,sénior,1973,2601,bleu
rural,43,homme,fondamental,Groupe6,19.0,marié,0,owned,1,1,1,0,8127,adulte,1981,1849,jaune
urbain,50,femme,secondaire,Groupe5,17.0,célibataire,1,rented,0,0,0,1,5872,sénior,1974,2500,jaune
urbain,33,homme,supérieur,Groupe5,7.0,veuf,1,rented,0,0,0,0,11225,adulte,1991,1089,rouge
urbain,46,femme,supérieur,Groupe6,21.0,divorcé,0,other,0,1,0,0,10162,sénior,1978,2116,vert
rural,19,homme,supérieur,Groupe4,0.0,divorcé,1,owned,1,0,1,1,2361,jeune,2005,361,bleu
urbain,34,homme,secondaire,Groupe3,14.0,marié,0,other,0,2,0,0,23313,adulte,1990,1156,rouge
rural,18,homme,fondamental,Groupe2,0.0,marié,1,other,1,2,0,1,2847,jeune,2006,324,rouge
rural,35,femme,supérieur,Groupe2,14.0,marié,1,other,1,1,1,1,48351,adulte,1989,1225,jaune
urbain,53,homme,supérieur,Groupe4,29.0,célibataire,0,owned,1,0,0,0,36001,sénior,1971,2809,bleu
urbain,36,homme,fondamental,Groupe2,12.0,célibataire,1,owned,0,0,1,1,32761,adulte,1988,1296,jaune
urbain,45,femme,secondaire,Groupe5,20.0,célibataire,0,rented,0,0,0,0,10799,adulte,1979,2025,jaune
urbain,39,homme,fondamental,Groupe2,17.0,divorcé,1,rented,0,1,1,1,33143,adulte,1985,1521,jaune
urbain,26,homme,sans_niveau,Groupe3,8.0,célibataire,1,other,0,0,0,1,38125,adulte,1998,676,jaune
urbain,32,homme,supérieur,Groupe2,8.0,veuf,1,rented,0,1,1,1,13966,adulte,1992,1024,jaune
urbain,52,homme,sans_niveau,Groupe6,24.0,marié,0,owned,0,3,0,0,17293,sénior,1972,2704,rouge
urbain,45,homme,secondaire,Groupe5,27.0,célibataire,0,owned,0,1,1,0,25247,adulte,1979,2025,bleu
rural,25,homme,supérieur,Groupe3,5.0,marié,1,other,0,0,1,0,4707,jeune,1999,625,bleu
urbain,18,homme,secondaire,Groupe3,0.0,célibataire,1,rented,0,0,0,1,10522,jeune,2006,324,jaune
rural,38,femme,supérieur,Groupe6,16.0,marié,1,owned,1,3,1,0,2915,adulte,1986,1444,rouge
rural,26,homme,fondamental,Groupe2,5.0,célibataire,0,owned,1,0,1,1,1804,adulte,1998,676,rouge
urbain,32,femme,secondaire,Groupe6,4.0,veuf,1,other,0,1,0,1,4732,adulte,1992,1024,rouge
rural,18,homme,secondaire,Groupe2,0.0,marié,1,owned,0,1,1,0,671,jeune,2006,324,rouge
urbain,50,homme,supérieur,Groupe5,18.0,veuf,0,rented,1,2,1,1,20061,sénior,1974,2500,rouge
urbain,33,homme,supérieur,Groupe3,13.0,célibataire,1,rented,0,0,0,0,75359,adulte,1991,1089,rouge
urbain,35,femme,sans_niveau,Groupe4,11.0,célibataire,0,owned,0,1,0,0,3725,adulte,1989,1225,bleu
urbain,22,homme,sans_niveau,Groupe1,2.0,marié,0,owned,0,0,0,1,23125,jeune,2002,484,bleu
urbain,30,homme,supérieur,Groupe4,8.0,marié,1,owned,0,2,0,0,23209,adulte,1994,900,rouge
urbain,36,femme,secondaire,Groupe6,11.0,veuf,1,other,0,0,0,0,10542,adulte,1988,1296,rouge
urbain,25,femme,sans_niveau,Groupe4,5.0,marié,1,owned,1,0,0,0,7394,jeune,1999,625,vert
urbain,31,homme,fondamental,Groupe5,5.0,marié,1,rented,0,2,0,0,22015,adulte,1993,961,jaune
urbain,55,homme,fondamental,Groupe3,27.0,célibataire,1,owned,0,2,1,1,16751,sénior,1969,3025,rouge
urbain,18,femme,sans_niveau,Groupe4,0.0,célibataire,1,owned,0,0,0,0,16053,jeune,2006,324,jaune
urbain,37,femme,,Groupe2,14.0,célibataire,1,rented,0,1,0,1,14877,adulte,1987,1369,vert
urbain,23,homme,,Groupe6,0.0,marié,1,rented,0,1,1,1,16551,jeune,2001,529,jaune
urbain,55,homme,secondaire,Groupe6,21.0,marié,0,rented,0,0,0,0,27730,sénior,1969,3025,vert
urbain,32,homme,supérieur,Groupe6,6.0,marié,1,rented,0,0,0,1,11450,adulte,1992,1024,rouge
rural,19,femme,supérieur,Groupe4,0.0,célibataire,1,owned,1,1,0,0,10405,jeune,2005,361,jaune
urbain,31,femme,supérieur,Groupe2,9.0,célibataire,1,owned,0,1,0,1,68106,adulte,1993,961,rouge
rural,40,femme,supérieur,Groupe4,17.0,veuf,0,owned,1,1,1,1,13492,adulte,1984,1600,bleu
urbain,70,homme,secondaire,Groupe4,32.0,célibataire,1,rented,0,0,0,0,42079,âgé,1954,4900,vert
rural,18,femme,sans_niveau,Groupe4,0.0,marié,1,owned,1,1,0,1,1494,jeune,2006,324,bleu
urbain,18,homme,sans_niveau,Groupe5,0.0,veuf,0,other,0,0,1,1,28251,jeune,2006,324,rouge
urbain,54,homme,secondaire,Groupe2,28.0,marié,1,owned,0,4,0,1,28703,sénior,1970,2916,bleu
urbain,18,femme,fondamental,Groupe1,0.0,divorcé,0,rented,0,1,1,0,16557,jeune,2006,324,vert
urbain,35,homme,fondamental,Groupe3,11.0,célibataire,0,other,0,1,1,0,26158,adulte,1989,1225,vert
urbain,27,homme,supérieur,Groupe5,5.0,célibataire,1,owned,0,1,0,1,19996,adulte,1997,729,vert
urbain,25,homme,secondaire,Groupe2,5.0,célibataire,1,,0,0,0,1,14357,jeune,1999,625,vert
rural,32,femme,secondaire,Groupe5,6.0,marié,0,owned,1,1,1,1,5170,adulte,1992,1024,bleu
urbain,30,femme,secondaire,Groupe5,3.0,divorcé,1,rented,0,1,0,1,8984,adulte,1994,900,jaune
urbain,50,homme,fondamental,Groupe2,17.0,veuf,1,rented,0,2,0,1,30037,sénior,1974,2500,jaune
rural,54,homme,secondaire,Groupe5,28.0,marié,1,rented,1,1,1,0,2346,sénior,1970,2916,vert
urbain,41,homme,,Groupe1,15.0,marié,1,rented,0,2,0,1,47549,adulte,1983,1681,rouge
rural,31,femme,secondaire,Groupe4,8.0,marié,0,owned,1,1,1,0,906,adulte,1993,961,jaune
urbain,38,homme,secondaire,Groupe2,14.0,veuf,0,owned,0,2,0,1,44960,adulte,1986,1444,bleu
rural,47,femme,sans_niveau,Groupe5,,divorcé,1,rented,1,1,1,0,10249,sénior,1977,2209,rouge
urbain,50,homme,secondaire,Groupe4,19.0,marié,1,owned,0,1,0,1,8248,sénior,1974,2500,rouge
rural,40,homme,secondaire,Groupe5,13.0,divorcé,0,rented,0,0,1,0,14558,adulte,1984,1600,bleu
rural,57,homme,secondaire,Groupe3,24.0,célibataire,0,owned,1,0,1,0,11807,sénior,1967,3249,vert
urbain,25,femme,fondamental,Groupe5,1.0,célibataire,0,other,0,0,0,0,8300,jeune,1999,625,vert
urbain,52,femme,sans_niveau,Groupe1,28.0,marié,0,rented,0,1,1,1,21028,sénior,1972,2704,bleu
urbain,45,homme,secondaire,Groupe2,16.0,marié,0,rented,0,0,1,1,18047,adulte,1979,2025,rouge
rural,25,homme,secondaire,Groupe3,6.0,marié,0,owned,1,0,0,0,1355,jeune,1999,625,rouge
urbain,38,homme,fondamental,Groupe4,13.0,marié,1,rented,0,0,1,0,19318,adulte,1986,1444,bleu
urbain,39,homme,fondamental,Groupe5,8.0,marié,0,owned,0,1,0,0,15097,adulte,1985,1521,vert
urbain,32,homme,sans_niveau,Groupe3,10.0,marié,1,rented,0,5,1,0,8164,adulte,1992,1024,rouge
urbain,32,femme,secondaire,Groupe5,11.0,célibataire,1,rented,0,1,1,1,12955,adulte,1992,1024,vert
urbain,18,femme,secondaire,Groupe4,0.0,marié,1,rented,0,1,0,1,15453,jeune,2006,324,vert
rural,24,homme,secondaire,Groupe5,0.0,marié,1,owned,1,3,1,0,2466,jeune,2000,576,jaune
urbain,31,homme,secondaire,Groupe5,9.0,marié,1,,0,0,0,0,11918,adulte,1993,961,rouge
rural,26,femme,supérieur,Groupe2,6.0,célibataire,1,owned,1,0,1,0,9572,adulte,1998,676,bleu
urbain,22,homme,supérieur,Groupe3,4.0,célibataire,0,owned,0,0,0,1,8379,jeune,2002,484,vert
urbain,50,homme,secondaire,Groupe6,20.0,célibataire,0,owned,0,1,0,0,28209,sénior,1974,2500,rouge
urbain,33,homme,sans_niveau,Groupe1,12.0,marié,1,other,0,2,0,1,39507,adulte,1991,1089,rouge
urbain,67,homme,sans_niveau,Groupe3,33.0,célibataire,1,rented,0,2,1,1,54968,âgé,1957,4489,rouge
rural,38,femme,supérieur,Groupe3,11.0,marié,0,owned,0,1,1,0,27264,adulte,1986,1444,rouge
rural,50,homme,secondaire,Groupe3,17.0,marié,1,owned,0,3,1,0,5968,sénior,1974,2500,jaune
urbain,31,homme,,Groupe3,10.0,veuf,0,owned,0,0,0,0,23733,adulte,1993,961,rouge
urbain,25,femme,fondamental,Groupe5,4.0,veuf,1,owned,0,1,1,0,10213,jeune,1999,625,rouge
urbain,38,femme,sans_niveau,Groupe6,12.0,célibataire,1,rented,1,0,1,0,14944,adulte,1986,1444,jaune
rural,54,homme,secondaire,Groupe6,22.0,marié,1,owned,1,3,1,0,3449,sénior,1970,2916,jaune
rural,33,femme,sans_niveau,Groupe2,8.0,marié,1,owned,1,2,0,1,2460,adulte,1991,1089,vert
rural,41,femme,fondamental,Groupe4,12.0,marié,0,rented,0,0,0,0,22464,adulte,1983,1681,vert
urbain,38,homme,fondamental,Groupe5,14.0,célibataire,0,owned,0,0,1,0,6039,adulte,1986,1444,vert
urbain,33,homme,secondaire,Groupe1,10.0,divorcé,1,rented,0,2,1,1,48548,adulte,1991,1089,bleu
urbain,34,femme,sans_niveau,Groupe2,9.0,marié,0,owned,0,4,1,1,13184,adulte,1990,1156,rouge
urbain,20,femme,fondamental,Groupe5,0.0,célibataire,0,rented,0,1,1,1,5660,jeune,2004,400,jaune
urbain,34,femme,sans_niveau,Groupe4,9.0,célibataire,1,rented,0,1,0,0,10777,adulte,1990,1156,rouge
urbain,44,homme,sans_niveau,Groupe5,24.0,marié,1,owned,0,1,0,0,51463,adulte,1980,1936,jaune
urbain,39,homme,sans_niveau,Groupe5,14.0,divorcé,0,rented,0,2,1,0,17700,adulte,1985,1521,vert
rural,37,femme,fondamental,Groupe3,14.0,célibataire,1,owned,1,2,1,1,4790,adulte,1987,1369,bleu
rural,45,homme,,Groupe1,13.0,célibataire,1,owned,0,1,1,1,17635,adulte,1979,2025,rouge
urbain,37,femme,secondaire,Groupe4,7.0,marié,1,rented,0,1,1,0,7965,adulte,1987,1369,bleu
urbain,35,homme,sans_niveau,Groupe5,4.0,veuf,0,rented,0,3,0,1,512183,adulte,1989,1225,rouge
urbain,46,homme,fondamental,Groupe2,18.0,célibataire,1,,0,0,1,1,19087,sénior,1978,2116,bleu
rural,37,homme,,Groupe3,13.0,marié,0,owned,1,2,0,0,16094,adulte,1987,1369,rouge
rural,31,femme,fondamental,Groupe1,11.0,marié,1,owned,1,0,0,0,5496,adulte,1993,961,jaune
rural,42,homme,supérieur,Groupe4,16.0,marié,1,rented,1,5,0,0,3096,adulte,1982,1764,vert
rural,34,femme,supérieur,Groupe3,7.0,célibataire,0,owned,1,0,1,1,8827,adulte,1990,1156,jaune
urbain,30,homme,fondamental,Groupe5,7.0,divorcé,0,rented,0,1,1,0,22865,adulte,1994,900,bleu
urbain,37,femme,secondaire,Groupe3,12.0,marié,1,owned,0,0,0,0,23902,adulte,1987,1369,bleu
urbain,37,femme,secondaire,Groupe5,9.0,marié,1,other,0,2,0,1,9928,adulte,1987,1369,rouge
urbain,18,femme,sans_niveau,Groupe2,0.0,veuf,0,other,0,0,1,1,7680,jeune,2006,324,bleu
rural,39,femme,secondaire,Groupe5,18.0,marié,0,owned,1,1,1,1,11920,adulte,1985,1521,bleu
urbain,62,homme,,Groupe3,29.0,célibataire,0,rented,0,0,0,0,21924,âgé,1962,3844,bleu
urbain,20,homme,secondaire,Groupe4,2.0,célibataire,1,owned,0,0,1,0,15670,jeune,2004,400,bleu
urbain,27,femme,,Groupe2,6.0,marié,0,rented,0,2,0,1,20203,adulte,1997,729,rouge
rural,70,homme,secondaire,Groupe5,31.0,célibataire,0,owned,1,0,0,1,15856,âgé,1954,4900,rouge
urbain,22,homme,,Groupe2,4.0,célibataire,1,other,1,1,1,1,51954,jeune,2002,484,rouge
urbain,54,homme,secondaire,Groupe6,25.0,célibataire,1,other,0,3,0,1,14040,sénior,1970,2916,vert
urbain,31,homme,fondamental,Groupe3,2.0,marié,1,rented,0,1,1,0,5381,adulte,1993,961,jaune
urbain,35,femme,secondaire,Groupe4,9.0,célibataire,1,,0,0,0,1,10921,adulte,1989,1225,rouge
urbain,33,femme,secondaire,Groupe4,,marié,1,rented,0,2,0,0,8228,adulte,1991,1089,vert
rural,41,femme,fondamental,Groupe5,11.0,marié,1,,1,1,0,1,9566,adulte,1983,1681,vert
urbain,18,homme,supérieur,Groupe4,0.0,célibataire,1,owned,0,0,0,0,43450,jeune,2006,324,vert
rural,37,homme,fondamental,Groupe4,10.0,célibataire,1,owned,1,0,1,0,1192,adulte,1987,1369,bleu
urbain,28,homme,fondamental,Groupe2,4.0,célibataire,1,rented,0,0,0,1,18691,adulte,1996,784,rouge
urbain,18,femme,fondamental,Groupe2,0.0,célibataire,1,owned,0,3,0,1,18888,jeune,2006,324,rouge
rural,51,homme,,Groupe4,23.0,célibataire,1,rented,1,1,1,0,21178,sénior,1973,2601,rouge
urbain,18,homme,fondamental,Groupe6,0.0,divorcé,1,rented,0,0,1,0,3783,jeune,2006,324,bleu
urbain,67,homme,secondaire,Groupe3,35.0,marié,1,rented,0,2,1,0,10960,âgé,1957,4489,rouge
rural,44,femme,fondamental,Groupe3,20.0,célibataire,0,owned,1,0,0,0,5503,adulte,1980,1936,jaune
urbain,18,homme,secondaire,Groupe3,0.0,célibataire,1,rented,0,1,0,1,23942,jeune,2006,324,bleu
rural,55,homme,supérieur,Groupe5,22.0,marié,1,owned,1,0,1,0,5241,sénior,1969,3025,jaune
urbain,23,homme,supérieur,Groupe5,4.0,marié,1,rented,0,0,0,0,13798,jeune,2001,529,jaune
urbain,24,homme,sans_niveau,Groupe6,0.0,marié,1,owned,0,0,1,0,5171,jeune,2000,576,vert
urbain,18,femme,supérieur,Groupe2,0.0,célibataire,1,owned,0,1,1,1,5382,jeune,2006,324,vert
rural,22,homme,,Groupe5,4.0,marié,1,owned,1,1,1,0,295,jeune,2002,484,bleu
urbain,23,femme,secondaire,Groupe3,3.0,marié,1,owned,0,2,1,1,8324,jeune,2001,529,rouge
rural,47,femme,fondamental,Groupe5,17.0,veuf,1,owned,1,1,1,0,15667,sénior,1977,2209,rouge
rural,52,homme,,Groupe2,25.0,célibataire,1,owned,1,1,1,0,12037,sénior,1972,2704,jaune
urbain,18,homme,,Groupe2,0.0,marié,1,owned,0,0,1,1,8936,jeune,2006,324,bleu
urbain,39,homme,supérieur,Groupe5,17.0,célibataire,1,other,0,1,1,0,29477,adulte,1985,1521,bleu
urbain,18,femme,sans_niveau,Groupe2,0.0,divorcé,0,owned,1,2,1,1,5851,jeune,2006,324,rouge
urbain,39,homme,supérieur,Groupe4,13.0,marié,0,rented,1,1,0,0,26235,adulte,1985,1521,vert
urbain,67,homme,secondaire,Groupe2,34.0,veuf,1,rented,0,0,1,0,198901,âgé,1957,4489,rouge
urbain,18,femme,secondaire,Groupe5,0.0,marié,1,rented,0,1,1,0,6880,jeune,2006,324,vert
rural,19,homme,sans_niveau,Groupe4,0.0,veuf,0,owned,1,1,0,0,2007,jeune,2005,361,bleu
rural,45,femme,supérieur,Groupe4,18.0,marié,1,owned,0,1,0,1,7467,adulte,1979,2025,bleu
rural,47,femme,sans_niveau,Groupe5,19.0,marié,1,rented,1,1,0,0,8169,sénior,1977,2209,rouge
rural,20,femme,secondaire,Groupe1,1.0,célibataire,1,other,1,0,0,1,2702,jeune,2004,400,jaune
urbain,57,homme,secondaire,Groupe1,27.0,célibataire,1,rented,0,2,0,1,30358,sénior,1967,3249,jaune
rural,22,homme,supérieur,Groupe2,4.0,célibataire,1,other,1,0,1,1,4951,jeune,2002,484,bleu
rural,60,femme,supérieur,Groupe3,25.0,célibataire,0,owned,1,1,1,1,15492,sénior,1964,3600,rouge
urbain,42,femme,fondamental,Groupe3,20.0,veuf,1,owned,0,1,0,0,29565,adulte,1982,1764,jaune
rural,54,homme,supérieur,Groupe2,25.0,célibataire,0,owned,1,0,0,1,56974,sénior,1970,2916,jaune
urbain,40,homme,sans_niveau,Groupe6,9.0,célibataire,0,owned,0,1,0,0,6629,adulte,1984,1600,vert
urbain,44,homme,fondamental,Groupe6,16.0,marié,1,rented,0,1,1,0,23315,adulte,1980,1936,bleu
rural,45,femme,supérieur,Groupe2,19.0,marié,1,owned,0,4,1,1,8169,adulte,1979,2025,bleu
rural,52,femme,secondaire,Groupe5,25.0,célibataire,0,owned,0,0,1,0,5923,sénior,1972,2704,vert
urbain,34,homme,fondamental,Groupe4,10.0,marié,0,owned,0,0,1,0,16231,adulte,1990,1156,vert
rural,21,homme,sans_niveau,Groupe5,0.0,célibataire,1,owned,0,0,1,1,812,jeune,2003,441,rouge
urbain,33,homme,fondamental,Groupe3,13.0,divorcé,0,rented,0,1,0,0,24894,adulte,1991,1089,bleu
urbain,24,homme,supérieur,Groupe3,6.0,veuf,1,owned,0,1,0,0,241346,jeune,2000,576,rouge
rural,25,homme,supérieur,Groupe2,3.0,célibataire,1,owned,1,0,1,1,5281,jeune,1999,625,vert
urbain,59,homme,secondaire,Groupe6,,célibataire,0,rented,0,0,1,0,25040,sénior,1965,3481,rouge
rural,44,homme,sans_niveau,Groupe3,14.0,marié,0,rented,1,2,1,0,2421,adulte,1980,1936,vert
urbain,43,homme,fondamental,Groupe3,16.0,marié,1,rented,0,2,0,1,56939,adulte,1981,1849,vert
urbain,51,homme,secondaire,Groupe5,28.0,marié,1,rented,0,2,0,0,24735,sénior,1973,2601,rouge
urbain,44,femme,secondaire,Groupe2,24.0,célibataire,1,owned,0,0,1,1,9077,adulte,1980,1936,rouge
urbain,63,femme,supérieur,Groupe1,27.0,marié,0,rented,0,1,0,0,39393,âgé,1961,3969,vert
urbain,18,femme,supérieur,Groupe4,0.0,célibataire,1,owned,0,1,1,0,27897,jeune,2006,324,vert
rural,20,femme,fondamental,Groupe3,1.0,marié,1,rented,1,0,1,0,10362,jeune,2004,400,jaune
urbain,24,femme,supérieur,Groupe5,5.0,veuf,0,other,0,0,0,0,8609,jeune,2000,576,vert
rural,18,homme,supérieur,Groupe1,0.0,célibataire,0,owned,1,2,1,0,8136,jeune,2006,324,bleu
urbain,36,homme,secondaire,Groupe1,16.0,divorcé,1,owned,0,1,1,1,79804,adulte,1988,1296,vert
urbain,37,femme,secondaire,Groupe5,18.0,célibataire,1,owned,0,0,1,0,72265,adulte,1987,1369,vert
urbain,64,homme,supérieur,Groupe5,29.0,marié,0,rented,0,2,0,0,27167,âgé,1960,4096,rouge
urbain,48,homme,fondamental,Groupe2,14.0,marié,1,other,0,3,1,1,46985,sénior,1976,2304,vert
urbain,27,homme,fondamental,Groupe2,5.0,célibataire,0,rented,0,3,1,1,42443,adulte,1997,729,bleu
urbain,42,femme,secondaire,Groupe4,,marié,0,rented,0,3,0,0,12899,adulte,1982,1764,vert
urbain,18,homme,secondaire,Groupe5,0.0,marié,1,owned,0,2,0,0,14960,jeune,2006,324,rouge
urbain,37,homme,secondaire,Groupe5,12.0,célibataire,0,other,0,1,0,0,12516,adulte,1987,1369,rouge
urbain,36,femme,secondaire,Groupe3,14.0,marié,1,owned,0,3,0,1,15042,adulte,1988,1296,vert
urbain,21,femme,fondamental,Groupe2,2.0,marié,1,owned,0,0,0,1,20268,jeune,2003,441,jaune
urbain,31,homme,sans_niveau,Groupe1,5.0,célibataire,1,rented,0,1,0,1,16261,adulte,1993,961,jaune
rural,24,homme,,Groupe3,5.0,célibataire,1,owned,1,1,1,0,4335,jeune,2000,576,bleu
urbain,21,femme,,Groupe3,3.0,veuf,0,owned,0,0,1,0,5912,jeune,2003,441,bleu
rural,45,homme,,Groupe6,21.0,marié,0,owned,1,4,1,0,2666,adulte,1979,2025,vert
urbain,50,homme,secondaire,Groupe2,18.0,marié,1,other,0,2,0,1,55378,sénior,1974,2500,vert
rural,42,homme,secondaire,Groupe6,11.0,marié,0,other,1,4,1,0,1708,adulte,1982,1764,rouge
urbain,28,homme,fondamental,Groupe5,10.0,marié,1,owned,0,2,0,0,27293,adulte,1996,784,bleu
rural,25,homme,secondaire,Groupe5,7.0,veuf,0,rented,1,0,1,0,4871,jeune,1999,625,rouge
urbain,28,femme,secondaire,Groupe2,10.0,célibataire,0,owned,0,2,1,1,41029,adulte,1996,784,jaune
rural,31,femme,sans_niveau,Groupe1,13.0,veuf,0,owned,0,0,1,0,7125,adulte,1993,961,rouge
rural,21,femme,fondamental,Groupe1,0.0,marié,1,owned,1,1,0,1,2229,jeune,2003,441,rouge
rural,50,homme,supérieur,Groupe1,23.0,veuf,0,rented,1,0,1,0,17851,sénior,1974,2500,rouge
urbain,31,femme,secondaire,Groupe5,8.0,célibataire,1,owned,0,1,1,0,13293,adulte,1993,961,vert
urbain,46,homme,sans_niveau,Groupe3,19.0,célibataire,0,other,0,0,1,1,22758,sénior,1978,2116,vert
urbain,18,homme,,Groupe5,0.0,célibataire,1,owned,0,0,1,0,9112,jeune,2006,324,vert
urbain,24,homme,fondamental,Groupe4,2.0,célibataire,1,owned,0,1,1,1,7039,jeune,2000,576,bleu
rural,47,femme,fondamental,Groupe5,19.0,marié,0,owned,1,1,1,0,1986,sénior,1977,2209,bleu
urbain,48,femme,fondamental,Groupe5,22.0,célibataire,1,owned,1,1,0,0,20238,sénior,1976,2304,jaune
urbain,18,femme,secondaire,Groupe2,0.0,veuf,1,rented,0,0,0,1,13086,jeune,2006,324,jaune
urbain,39,femme,secondaire,Groupe2,17.0,célibataire,1,rented,0,1,0,1,24848,adulte,1985,1521,jaune
urbain,39,homme,secondaire,Groupe1,11.0,marié,0,rented,0,1,0,1,70785,adulte,1985,1521,jaune
urbain,24,homme,secondaire,Groupe4,5.0,célibataire,0,owned,0,1,0,1,7226,jeune,2000,576,rouge
rural,40,femme,,Groupe3,,marié,1,owned,1,1,1,0,15203,adulte,1984,1600,bleu
urbain,18,homme,fondamental,Groupe6,0.0,marié,1,rented,0,0,0,0,4893,jeune,2006,324,rouge
urbain,21,homme,supérieur,Groupe1,1.0,marié,1,rented,0,4,1,0,32752,jeune,2003,441,rouge
urbain,43,homme,secondaire,Groupe6,16.0,marié,1,other,0,3,0,0,44284,adulte,1981,1849,jaune
urbain,35,femme,secondaire,Groupe5,12.0,marié,1,rented,0,1,0,0,13558,adulte,1989,1225,rouge
urbain,36,femme,sans_niveau,Groupe5,,veuf,1,owned,0,0,0,0,18078,adulte,1988,1296,vert
rural,32,femme,fondamental,Groupe2,13.0,célibataire,0,owned,1,0,1,1,4221,adulte,1992,1024,jaune
rural,43,homme,secondaire,Groupe6,17.0,marié,1,owned,1,3,1,0,5564,adulte,1981,1849,rouge
rural,43,homme,fondamental,Groupe1,23.0,marié,0,rented,1,0,0,1,7369,adulte,1981,1849,rouge
rural,46,femme,secondaire,Groupe3,17.0,célibataire,0,owned,1,1,1,1,28783,sénior,1978,2116,jaune
urbain,36,homme,fondamental,Groupe4,12.0,célibataire,1,other,0,0,0,0,7317,adulte,1988,1296,jaune
rural,29,femme,,Groupe4,7.0,marié,1,owned,1,2,1,1,8289,adulte,1995,841,vert
rural,26,homme,secondaire,Groupe5,7.0,marié,1,owned,1,3,0,1,7966,adulte,1998,676,jaune
rural,19,femme,fondamental,Groupe5,0.0,célibataire,0,owned,1,1,0,0,5006,jeune,2005,361,bleu
urbain,28,femme,sans_niveau,Groupe2,7.0,marié,1,owned,0,2,1,0,22059,adulte,1996,784,rouge
rural,25,homme,fondamental,Groupe5,5.0,marié,0,rented,1,2,1,0,1475,jeune,1999,625,jaune
rural,59,homme,fondamental,Groupe5,32.0,veuf,0,owned,1,0,0,1,24656,sénior,1965,3481,vert
rural,19,femme,fondamental,Groupe6,0.0,marié,1,owned,1,0,0,1,175516,jeune,2005,361,jaune
urbain,50,femme,sans_niveau,Groupe2,24.0,marié,0,rented,0,1,1,1,25185,sénior,1974,2500,jaune
rural,30,homme,fondamental,Groupe6,7.0,célibataire,1,,1,0,0,0,833,adulte,1994,900,rouge
rural,31,homme,secondaire,Groupe1,10.0,veuf,1,owned,0,0,0,1,3068,adulte,1993,961,jaune
rural,41,homme,fondamental,Groupe6,11.0,veuf,1,owned,1,1,1,1,3219,adulte,1983,1681,bleu
urbain,18,femme,secondaire,Groupe6,0.0,veuf,1,rented,0,1,1,1,10548,jeune,2006,324,rouge
rural,23,homme,secondaire,Groupe2,1.0,célibataire,1,rented,1,0,1,1,2772,jeune,2001,529,rouge
urbain,18,femme,sans_niveau,Groupe1,0.0,célibataire,1,other,0,3,0,0,8813,jeune,2006,324,jaune
urbain,29,homme,supérieur,Groupe1,11.0,marié,1,owned,0,2,0,1,52947,adulte,1995,841,rouge
urbain,21,homme,,Groupe5,3.0,marié,1,rented,0,2,0,1,14205,jeune,2003,441,rouge
rural,54,femme,secondaire,Groupe3,24.0,divorcé,1,owned,1,1,1,0,4968,sénior,1970,2916,rouge
urbain,26,homme,supérieur,Groupe5,1.0,marié,1,rented,0,1,1,0,11748,adulte,1998,676,jaune
urbain,18,homme,supérieur,Groupe5,0.0,veuf,0,rented,0,0,0,0,19967,jeune,2006,324,bleu
rural,29,femme,fondamental,Groupe5,7.0,veuf,0,owned,1,0,0,0,2483,adulte,1995,841,jaune
rural,47,homme,sans_niveau,Groupe1,22.0,célibataire,1,other,0,1,0,1,3259,sénior,1977,2209,bleu
urbain,59,femme,secondaire,Groupe1,35.0,veuf,1,rented,0,0,1,1,89520,sénior,1965,3481,vert
